Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções
ENCARREGADO LIMPEZA,EMPRESA B,B07254,40,ES,Baixo,1,"0,12","1,0","0,0","1,0","2,0","1,0","1,0","0,0"
MECANICO PL,EMPRESA A,A11280,40,MT,Alto,1,"0,12","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A11317,40,SP,Alto,1,"0,12","0,0","0,0","0,0","2,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07208,40,SP,Alto,1,"0,16","0,0","0,0","1,0","2,0","0,0","0,0","0,0"
SERRALHEIRO,EMPRESA A,A11120,40,SP,Alto,1,"0,16","0,0","0,0","0,0","2,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11041,40,MG,Alto,1,"0,19","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA A,A11012,40,MG,Alto,1,"0,2","1,0","0,0","0,0","1,0","1,0","1,0","0,0"
ENCARREGADO,EMPRESA A,A11001,40,MG,Alto,1,"0,2","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX ADM PL,EMPRESA A,A10949,40,MG,Alto,1,"0,22","1,0","0,0","0,0","3,0","1,0","0,0","0,0"
TECNICO MECANICA,EMPRESA A,A10901,40,MG,Alto,1,"0,24","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA A,A10859,40,RS,Alto,1,"0,24","0,0","0,0","0,0","1,0","1,0","1,0","0,0"
JARDINEIRO,EMPRESA B,B07140,40,TO,Alto,1,"0,24","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ENCARREGADO,EMPRESA A,A10661,40,MG,Alto,1,"0,31","1,0","0,0","0,0","2,0","1,0","1,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA A,A10637,40,SP,Alto,1,"0,32","1,0","0,0","1,0","1,0","0,0","1,0","0,0"
MECANICO JR,EMPRESA A,A10605,40,MG,Alto,1,"0,33","1,0","0,0","0,0","3,0","1,0","0,0","0,0"
FAXINEIRO INDUSTRIAL,EMPRESA B,B07010,40,BA,Alto,1,"0,37","0,0","0,0","0,0","1,0","1,0","1,0","0,0"
MECANICO SR,EMPRESA A,A10484,40,MS,Alto,1,"0,37","0,0","0,0","0,0","3,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A10441,40,MG,Médio,1,"0,39","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
TEC EM SEGURANCA JR,EMPRESA A,A10423,40,MG,Médio,1,"0,39","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B06944,40,PR,Alto,1,"0,43","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A10303,40,RJ,Alto,1,"0,43","1,0","0,0","1,0","3,0","0,0","0,0","0,0"
SUPERVISOR PROJ PL,EMPRESA A,A10309,40,SP,Alto,1,"0,43","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
SUPERVISOR,EMPRESA A,A10287,40,SP,Alto,1,"0,44","1,0","0,0","1,0","2,0","0,0","0,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA A,A10271,40,MG,Alto,1,"0,45","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
ELETR. MANUTENCAO JR,EMPRESA A,A10183,40,MG,Alto,1,"0,49","0,0","0,0","0,0","4,0","1,0","0,0","1,0"
SUPERVISOR PROJ SR,EMPRESA A,A09862,40,SP,Médio,1,"0,61","0,0","0,0","0,0","2,0","1,0","1,0","0,0"
